"GenusSpecies","degree","proportional.generality","d","occ.date"
"Platycheirus stegnus",24,0.423191298100542,0.206787363049505,0.1
"Scaeva pyrastri",25,0.546266534288778,0.186166293336994,0.0769230769230769
"Sphaerophoria contigua",20,0.524807234103199,0.109099244093,0.0384615384615385
"Sphaerophoria pyrrhina",29,0.569084642062468,0.0696503278629464,0.269230769230769
"Sphaerophoria sulphuripes",31,0.69514022957903,0.115869094070866,0.115384615384615
"Sphecodes sp. 1M",1,0.0592591443623598,0.145785620457114,NA
"Sphecodes sp. AM",1,0.0592591443623598,0.0165819626469516,NA
"Sphecodes sp. B",2,0.111992765071344,0.0115104097622717,0.0416666666666667
"Sphecodes spp.",2,0.11851828872472,0.369497960867001,0.0357142857142857
"Stelis laticincta",2,0.0977411372147084,0.161857532001638,0.0357142857142857
"Stelis montana",1,0.0592591443623598,0.510809142360883,NA
"Svastra obliqua expurgata",11,0.488181561337118,0.225832609594275,0.4
"Syritta flaviventris",18,0.222673469981487,0.133655333921285,0.0384615384615385
"Syritta pipiens",22,0.409067779428639,0.207052180760929,0.269230769230769
"Syrphus opinator",25,0.325738430164473,0.421163826188795,0.115384615384615
"Syrphus torvus",2,0.111992765071344,0.362804725925737,NA
"Toxomerus marginatus",56,0.718591897481393,0.116039591809782,0.653846153846154
"Toxomerus occidentalis",10,0.287692355639859,0.115622622476727,0.2
"Triepeolus concavus",4,0.237036577449439,0.105917402110901,0.25
"Triepeolus heterurus",11,0.451034697005263,0.253726123789443,0.0714285714285714
"Triepeolus melanarius",2,0.0929890098210344,0.213180495766628,NA
"Triepeolus sp. 1M",1,0.0592591443623598,0.2592321335135,NA
"Triepeolus sp. A",1,0.0592591443623598,0.359586247297088,0.2
"Triepeolus sp. EM",2,0.111992765071344,0.357391360780391,NA
"Triepeolus sp. FM",2,0.11851828872472,0,NA
"Triepeolus sp. nr. lestes",3,0.177777433087079,0.19820190727471,NA
"Triepeolus subnitens",4,0.221772043858419,0.282045210157485,NA
"Triepeolus timberlakei",4,0.223985530142689,0.108847381183918,0.0357142857142857
"Triepeolus utahensis",2,0.11851828872472,0,NA
"Tropidia quadrata",5,0.202604604629555,0.154069245041263,0.0416666666666667
"Xeromelecta californica",2,0.11851828872472,0.199933799888932,NA
"Xylocopa tabaniformis orpifex",7,0.322203433016658,0.614573327611775,NA
"Xylocopa varipuncta",2,0.0803631872001882,0.569682818807003,NA
"Achillea millefolium",28,0.464849396504556,0.192239239329416,NA
"Aesculus californica",13,0.515144652702987,0.178477328322403,NA
"Aloysia triphylla",1,0.0454886893591473,0.325543644998241,NA
"Alyssum sp.",3,0.116088405483483,0.200123174029468,NA
"Ambrosia sp.",1,0.0454886893591473,0.0200312557672007,NA
"Ammi visnaga",27,0.581002402775329,0.139611103475458,NA
"Amsinckia intermedia",1,0.0454886893591473,0.219801236794313,NA
"Anagallis arvensis",3,0.100864229457753,0.156841971060742,NA
"Anthemis cotula",19,0.349745439777176,0.158075959367268,NA
"Artemesia sp.",1,0.0454886893591473,0.0200312557672007,NA
"Asclepias fascicularis",15,0.444487730120586,0.189543575099988,NA
"Aster chilensis",6,0.272932136154884,0.24193734956712,NA
"Atriplex lentiformis",7,0.16175702393579,0.245822902385909,NA
"Baccharis salicifolia",17,0.557414713008213,0.223220926002837,NA
"Brassica sp.",94,0.802253700327961,0.116751579386125,NA
